,Country,Regional indicator,Score 2017,GDP per capita 2017,Social support 2017,Healthy life expectancy 2017,Freedom to make life choices 2017,Generosity 2017,Perceptions of corruption 2017,Score 2018,GDP per capita 2018,Social support 2018,Healthy life expectancy 2018,Freedom to make life choices 2018,Generosity 2018,Perceptions of corruption 2018,Score 2019,GDP per capita 2019,Social support 2019,Healthy life expectancy 2019,Freedom to make life choices 2019,Generosity 2019,Perceptions of corruption 2019
129,Guinea,Sub-Saharan Africa,3.964,0.344,0.792,0.21100000000000002,0.39399999999999996,0.185,0.094,4.534,0.38,0.8290000000000001,0.375,0.332,0.207,0.086,4.949299812,0.390007734,0.75136596,0.333655238,0.37187805799999996,0.249490842,0.11220455900000001
130,Lesotho,Sub-Saharan Africa,3.8080000000000003,0.47200000000000003,1.215,0.079,0.423,0.11599999999999999,0.11199999999999999,3.802,0.489,1.169,0.168,0.359,0.107,0.09300000000000001,3.6528000830000003,0.45493874,1.088940024,0.100934811,0.40936753200000003,0.10262764199999999,0.050483823
131,Madagascar,Sub-Saharan Africa,3.7739999999999996,0.262,0.9079999999999999,0.402,0.221,0.155,0.049,3.9330000000000003,0.27399999999999997,0.9159999999999999,0.555,0.14800000000000002,0.16899999999999998,0.040999999999999995,4.165599823,0.244553208,0.823694348,0.500617027,0.192967549,0.191190064,0.076248638
132,Zimbabwe,Sub-Saharan Africa,3.6919999999999997,0.35700000000000004,1.094,0.248,0.406,0.132,0.099,3.6630000000000003,0.366,1.114,0.433,0.361,0.151,0.08900000000000001,3.2992000580000003,0.425564021,1.0478352309999999,0.375037611,0.37740472,0.151349187,0.080928579
133,Afghanistan,South Asia,3.6319999999999997,0.332,0.537,0.255,0.085,0.191,0.036000000000000004,3.2030000000000003,0.35,0.517,0.361,0.0,0.158,0.025,2.566900015,0.30070585,0.356433839,0.266051531,0.0,0.135234714,0.001225785
134,Botswana,Sub-Saharan Africa,3.59,1.0170000000000001,1.1740000000000002,0.41700000000000004,0.557,0.042,0.092,3.488,1.041,1.145,0.5379999999999999,0.455,0.025,0.1,3.4788999560000002,0.997548997,1.08569479,0.494101733,0.50908941,0.033407487,0.101786368
135,Malawi,Sub-Saharan Africa,3.5869999999999997,0.18600000000000003,0.541,0.306,0.531,0.21,0.08,3.41,0.191,0.56,0.495,0.44299999999999995,0.218,0.08900000000000001,3.538000107,0.176534727,0.53036809,0.446163297,0.487389833,0.21318505699999998,0.131633952
136,Haiti,Latin America and Caribbean,3.582,0.315,0.7140000000000001,0.289,0.025,0.392,0.10400000000000001,3.597,0.32299999999999995,0.688,0.449,0.026000000000000002,0.419,0.11,3.720799923,0.284734428,0.646671355,0.37436673,0.169297516,0.463909656,0.161935672
137,Liberia,Sub-Saharan Africa,3.495,0.076,0.858,0.267,0.419,0.20600000000000002,0.03,3.975,0.073,0.922,0.44299999999999995,0.37,0.233,0.033,4.557899952,0.174103007,0.9207339290000001,0.392284274,0.405943096,0.22696787100000002,0.051139875999999994
138,Rwanda,Sub-Saharan Africa,3.408,0.332,0.8959999999999999,0.4,0.636,0.2,0.444,3.3339999999999996,0.359,0.711,0.614,0.555,0.217,0.41100000000000003,3.312299967,0.343242675,0.522876322,0.572383285,0.604087889,0.235704988,0.485542476
139,Yemen,Middle East and North Africa,3.355,0.442,1.073,0.34299999999999997,0.244,0.083,0.064,3.38,0.287,1.163,0.46299999999999997,0.14300000000000002,0.10800000000000001,0.077,3.5274000169999997,0.392701775,1.177477121,0.41500017,0.243721485,0.09468901199999999,0.08735212699999999
140,Tanzania,Sub-Saharan Africa,3.303,0.455,0.991,0.381,0.48100000000000004,0.27,0.09699999999999999,3.2310000000000003,0.47600000000000003,0.885,0.499,0.41700000000000004,0.276,0.147,3.4762001039999997,0.457163125,0.872674644,0.442677855,0.5093430879999999,0.27154091,0.20388086100000002
141,South Sudan,Sub-Saharan Africa,3.2539999999999996,0.337,0.608,0.177,0.11199999999999999,0.22399999999999998,0.106,2.853,0.306,0.575,0.295,0.01,0.20199999999999999,0.091,2.8166000839999996,0.289082974,0.5532785060000001,0.208809033,0.065609254,0.209934607,0.111156799
142,Central African Republic,Sub-Saharan Africa,3.083,0.024,0.0,0.01,0.305,0.218,0.038,3.083,0.026000000000000002,0.0,0.105,0.225,0.235,0.035,3.475899935,0.041072082,0.0,0.0,0.292814463,0.253513217,0.028264717999999998
143,Burundi,Sub-Saharan Africa,2.905,0.091,0.627,0.145,0.065,0.149,0.076,3.775,0.046,0.447,0.38,0.22,0.17600000000000002,0.18,3.775300026,0.0,0.403575271,0.295212835,0.275399059,0.18740178600000001,0.212186828
