,Country,Region,Score Average,GDP per Capita Average,Social Support Average,Healthy Life Expectancy Average,Generosity Average,Freedom to Make Life Choices Average,Perceptions of Corruption Average
64,Libya,Middle East and North Africa,5.526600016333333,1.0046666666666666,1.2830945660000002,0.6138755443333334,0.13058589966666667,0.45445135233333334,0.15741935966666668
65,Philippines,Southeast Asia,5.720333347333334,0.7856666666666667,1.283460571,0.590729827,0.12208673733333332,0.6076383873333334,0.11412857566666666
66,Honduras,Latin America and Caribbean,5.772399954333333,0.6273333333333334,1.209221368,0.7473299939999999,0.23317606633333332,0.5113826923333333,0.07960236733333334
67,Belarus,Commonwealth of Independent States,5.448633275333333,1.0483333333333333,1.4500464400000002,0.7471961899999999,0.09497768666666667,0.2775852893333333,0.16320247833333332
68,Turkey,Middle East and North Africa,5.329266724999999,1.1596666666666666,1.3123863903333335,0.7584450979999998,0.091628523,0.25780025333333334,0.11199441433333333
69,Pakistan,South Asia,5.606099923333333,0.6603333333333334,0.8563265269999999,0.47631108066666666,0.22156835433333336,0.35080724466666663,0.11119737366666667
70,Portugal,Western Europe,5.671300038666668,1.1989999999999998,1.399843449666667,0.9541050936666666,0.05167898233333334,0.5532983963333333,0.02324448866666667
71,Serbia,Central and Eastern Europe,5.593066716666667,0.9846666666666667,1.3598163213333334,0.7891344313333334,0.14042763,0.321809473,0.047149049
72,Greece,Western Europe,5.386666622,1.163,1.1756578549999999,0.9524772493333334,0.0,0.12383878266666666,0.04228145066666667
73,Lebanon,Middle East and North Africa,5.1088333703333335,0.9723333333333333,1.1984977733333333,0.7962237120000001,0.179508047,0.3015055566666667,0.06150604900000001
74,Montenegro,Central and Eastern Europe,5.47203338,1.0283333333333333,1.3018859673333334,0.8130096316666666,0.13400344333333333,0.253074616,0.08647837033333333
75,Croatia,Central and Eastern Europe,5.419233394666667,1.1283333333333332,1.2460882910000002,0.8505251926666667,0.11766632633333333,0.3524856273333334,0.024441668666666666
